CBSA_TITLE,REGION,POP,ped_rate,homicide_rate,built_pre40,built_80s,econ_connectedness,pov,hhi,entropy
"Dayton-Kettering-Beavercreek, OH",Midwest,813608,1.352,7.22707,0.152851,0.0885905,0.74812,0.129953,0.5866307720738138,0.5222833023165019
"Deltona-Daytona Beach-Ormond Beach, FL",South,689939,3.71047,4.72506,0.0180783,0.228602,0.741539,0.117061,0.5206828370271424,0.593414226175786
"Denver-Aurora-Centennial, CO",West,2977085,2.01539,6.0529,0.0627562,0.135024,0.976261,0.0817207,0.4500970729090097,0.6634949208701975
"Des Moines-West Des Moines, IA",Midwest,720331,0.916245,2.2212,0.152502,0.0782495,0.92341,0.0894091,0.6422335509110813,0.4874596307114367
"Detroit-Warren-Dearborn, MI",Midwest,4367620,1.95072,10.1566,0.12813,0.0904435,0.775385,0.131963,0.4718925485002305,0.642696702908291
"Durham-Chapel Hill, NC",South,594291,1.85095,7.40378,0.0468818,0.14491,0.784523,0.123244,0.3767393843377165,0.7490928301291839
"El Paso, TX",South,869606,2.48388,4.59978,0.0406968,0.14684,0.64659,0.189004,0.7017678790970678,0.3891714599097938
"Fayetteville-Springdale-Rogers, AR",South,563436,1.91681,0.780923,0.0292324,0.12833,0.828525,0.110422,0.4715640484982133,0.6441216780771811
"Fresno, CA",West,1170942,3.94554,8.81342,0.0497004,0.132976,0.576064,0.188627,0.3829701252999937,0.732747465746558
"Grand Rapids-Wyoming-Kentwood, MI",Midwest,1154320,1.28214,3.15337,0.152448,0.110363,0.893679,0.0997043,0.6043918509381883,0.5223368356089622
"Greensboro-High Point, NC",South,779894,2.66703,9.46282,0.0603049,0.143734,0.634963,0.153134,0.3989604134493046,0.7156888335766035
"Greenville-Anderson-Greer, SC",South,945301,2.83508,6.79149,0.0366177,0.132783,0.685669,0.130891,0.5429200723414894,0.57065814543245
"Harrisburg-Carlisle, PA",Northeast,597894,1.17078,3.44543,0.179495,0.114307,0.873732,0.0997911,0.569199817498323,0.5658638624814678
"Houston-Pasadena-The Woodlands, TX",South,7274714,2.61454,9.38044,0.0234126,0.146772,0.728521,0.135842,0.2970031353145887,0.8338351774404656
"Huntsville, AL",South,504712,2.17946,6.69689,0.0228693,0.148555,0.738587,0.104147,0.4868521762045801,0.6170871607294105
"Indianapolis-Carmel-Greenwood, IN",Midwest,2106327,2.01298,10.4257,0.121914,0.0989732,0.802794,0.105207,0.5213722286897421,0.6050859584198803
"Jackson, MS",South,615908,3.37713,23.7048,0.0306074,0.142475,0.673636,0.175188,0.4521702575829949,0.5668330602364337
"Jacksonville, FL",South,1645707,3.47571,9.96532,0.0380341,0.16145,0.747309,0.121141,0.422476989061852,0.7052088753099396
"Kansas City, MO-KS",Midwest,2202006,1.61671,11.1625,0.113505,0.119672,0.911124,0.100071,0.5298825494731235,0.6008724943295515
"Kiryas Joel-Poughkeepsie-Newburgh, NY",Northeast,700984,1.08419,0.570626,0.191987,0.128622,0.896169,0.110077,0.4567018600985055,0.665416716251032
"Knoxville, TN",South,919553,1.76173,3.95845,0.0639644,0.131668,0.747761,0.125809,0.7311358956216254,0.3816066705856776
"Lakeland-Winter Haven, FL",South,760961,3.3116,5.44049,0.0294617,0.169598,0.61522,0.147,0.3866513719742058,0.7104516887141507
"Lancaster, PA",Northeast,555151,1.00873,2.37773,0.194829,0.141874,0.88984,0.087,0.6584601180289144,0.4511165151479975
"Las Vegas-Henderson-North Las Vegas, NV",West,2293764,2.72042,7.98687,0.00412304,0.136916,0.73276,0.132,0.288193261466283,0.8650569921434239
"Lexington-Fayette, KY",South,517378,2.24207,6.22369,0.0749591,0.131495,0.859269,0.139866,0.5975093257330595,0.528666928840684
