COG ID,Length (Mi),Functional Class,Route,Location,Speed,Lanes,Average Weekday Traffic 2018,Average Weekday Traffic 2019,Average Weekday Traffic 2020,Average Annual Daily Traffic 2018,Average Annual Daily Traffic 2019,Average Annual Daily Traffic 2020,AWDT21,AWDT22,ADT21,ADT22,VMT,VHT,VHD
20264,0.06,Urban Principal Arterial,TRAMWAY,I-25 UNDERPASS - WEST OF PAN AMERICAN EAST,40,4,17396,17782,13382,16407,16553,12361,7951,8318,7384,7696,462,14,4
20401,0.38800001,Urban Principal Arterial,TRAMWAY,EAST OF PAN AMERICAN EAST - SANDIA CASINO,45,4,16232,16593,12487,15310,15446,11534,12994,13594,12068,12578,4880,133,35
20400,4.57600021,Urban Principal Arterial,TRAMWAY,ROAD TO SANDIA CASINO - NORTH OF ROAD TO TRAM.,45,4,6618,7222,5434,6242,6722,5020,6804,5779,6319,5347,24463,529,14
20244,0.083,Urban Principal Arterial,ROY AVE.,EAST OF TRAMWAY WEST RAMPS - I-25 UNDERPASS,40,2,13367,13340,9401,12738,12712,8683,11213,11731,10356,10834,912,30,10
11324,0.676,Urban Major Collector,MEADOWS BLVD (RR),NORTH OF CHERRY RD. - SOUTH OF PASEO DEL VOLCAN (N.),30,2,4347,4476,3566,3963,4064,3189,4195,5579,3751,5058,3419,140,38
11318,0.546,Urban Major Collector,CHERRY RD.,NORTHWEST OF 19TH AVE. - SOUTHEAST OF MEADOWS BLVD.,30,4,5988,6420,5114,5489,5829,4573,6016,6093,5485,5555,3032,124,34
11315,0.52200001,Urban Major Collector,CHERRY RD.,NORTHWEST OF UNSER - SOUTHEAST OF 17TH ST.,30,4,7845,8078,6435,7153,7335,5754,7570,7667,6768,6855,3578,139,32
11414,1.16799998,Urban Minor Arterial,NORTHERN BLVD.,EAST OF ABRAZO - WEST OF UNSER (NORTH),40,2,5633,5800,4620,5312,5427,4319,5435,5504,5080,5145,6009,141,2
11326,0.75800002,Urban Minor Arterial,BROADMOOR,NORTH OF LOMA COLORADO - SOUTH OF NORTHERN,35,2,7956,8192,6526,7503,7666,6101,7677,7775,7177,7269,5509,192,54
11329,1.86500001,Urban Minor Arterial,RAINBOW (NORTH),NORTH OF TULIP - SOUTH OF NORTHERN,25,2,5534,3716,2960,5219,3477,2767,3482,3527,3256,3298,6149,301,85
11335,1.63300002,Urban Minor Arterial,IRIS,WEST OF N.M. 528 - SE OF IDALIA,40,2,3074,3166,2522,2900,2963,2358,2967,3005,2774,2809,4587,129,26
11327,0.191,Urban Minor Arterial,BROADMOOR,NORTH OF HIGHRESORT - SOUTH OF CHESSMAN,30,2,11852,10809,9633,11177,10115,9006,12013,11601,11234,10948,2091,85,24
11320,0.147,Urban Minor Arterial,BROADMOOR,NORTH OF CHESSMAN - SOUTH OF LOMA COLORADO,30,2,16294,16777,13365,15366,15699,12495,15721,15922,14698,14886,2188,89,25
22880,0.249,Urban Interstate Off-Ramp,6TH/8TH INTCH.,I-40 WBD OFF RAMP,35,1,9557,9543,6738,8714,8616,6025,8658,9039,7742,8083,0,0,0
